# bitsize(pq) p q pq trialdiv
3 2 2 4 3.2901763916e-05
3 2 3 6 1.31130218506e-05
4 2 5 10 8.10623168945e-06
4 2 7 14 6.91413879395e-06
4 3 3 9 5.96046447754e-06
4 3 5 15 6.19888305664e-06
5 3 7 21 5.00679016113e-06
5 5 5 25 5.00679016113e-06
6 5 7 35 5.00679016113e-06
6 5 11 55 5.00679016113e-06
6 7 7 49 5.00679016113e-06
7 5 13 65 5.00679016113e-06
7 7 11 77 5.00679016113e-06
7 7 13 91 4.76837158203e-06
7 11 11 121 5.00679016113e-06
8 11 13 143 5.96046447754e-06
8 11 17 187 5.00679016113e-06
8 11 19 209 4.05311584473e-06
8 11 23 253 5.00679016113e-06
8 13 13 169 5.00679016113e-06
8 13 17 221 5.00679016113e-06
8 13 19 247 5.00679016113e-06
9 11 29 319 5.96046447754e-06
9 11 31 341 5.00679016113e-06
9 13 23 299 5.00679016113e-06
9 13 29 377 5.00679016113e-06
9 13 31 403 2.8133392334e-05
9 17 17 289 5.96046447754e-06
9 17 19 323 5.00679016113e-06
9 17 23 391 5.00679016113e-06
9 17 29 493 5.00679016113e-06
9 19 19 361 4.05311584473e-06
9 19 23 437 5.96046447754e-06
10 17 31 527 5.00679016113e-06
10 17 37 629 5.00679016113e-06
10 17 41 697 5.00679016113e-06
10 17 43 731 5.00679016113e-06
10 17 47 799 5.00679016113e-06
10 17 53 901 4.05311584473e-06
10 17 59 1003 5.00679016113e-06
10 19 29 551 5.00679016113e-06
10 19 31 589 5.00679016113e-06
10 19 37 703 5.00679016113e-06
10 19 41 779 5.00679016113e-06
10 19 43 817 5.00679016113e-06
10 19 47 893 4.05311584473e-06
10 19 53 1007 5.00679016113e-06
10 23 23 529 4.05311584473e-06
10 23 29 667 5.00679016113e-06
10 23 31 713 5.00679016113e-06
10 23 37 851 5.00679016113e-06
10 23 41 943 5.00679016113e-06
10 23 43 989 5.00679016113e-06
10 29 29 841 4.05311584473e-06
10 29 31 899 5.00679016113e-06
10 31 31 961 5.00679016113e-06
11 17 61 1037 5.00679016113e-06
11 19 59 1121 5.00679016113e-06
11 19 61 1159 5.00679016113e-06
11 23 47 1081 5.00679016113e-06
11 23 53 1219 5.00679016113e-06
11 23 59 1357 5.00679016113e-06
11 23 61 1403 5.00679016113e-06
11 29 37 1073 5.00679016113e-06
11 29 41 1189 5.00679016113e-06
11 29 43 1247 5.00679016113e-06
11 29 47 1363 5.00679016113e-06
11 29 53 1537 4.76837158203e-06
11 29 59 1711 5.00679016113e-06
11 29 61 1769 5.00679016113e-06
11 31 37 1147 5.00679016113e-06
11 31 41 1271 5.00679016113e-06
11 31 43 1333 5.00679016113e-06
11 31 47 1457 5.00679016113e-06
11 31 53 1643 5.00679016113e-06
11 31 59 1829 5.00679016113e-06
11 31 61 1891 5.96046447754e-06
11 37 37 1369 3.81469726562e-06
11 37 41 1517 5.00679016113e-06
11 37 43 1591 5.00679016113e-06
11 37 47 1739 5.00679016113e-06
11 37 53 1961 5.00679016113e-06
11 41 41 1681 5.00679016113e-06
11 41 43 1763 5.00679016113e-06
11 41 47 1927 5.00679016113e-06
11 43 43 1849 4.05311584473e-06
11 43 47 2021 5.00679016113e-06
12 37 59 2183 5.00679016113e-06
12 37 61 2257 4.05311584473e-06
12 37 67 2479 5.00679016113e-06
12 37 71 2627 5.00679016113e-06
12 37 73 2701 4.05311584473e-06
12 37 79 2923 5.00679016113e-06
12 37 83 3071 5.00679016113e-06
12 37 89 3293 5.00679016113e-06
12 37 97 3589 5.00679016113e-06
12 37 101 3737 5.00679016113e-06
12 37 103 3811 5.00679016113e-06
12 37 107 3959 5.00679016113e-06
12 37 109 4033 5.00679016113e-06
12 41 53 2173 5.96046447754e-06
12 41 59 2419 5.96046447754e-06
12 41 61 2501 5.00679016113e-06
12 41 67 2747 5.00679016113e-06
12 41 71 2911 5.00679016113e-06
12 41 73 2993 5.00679016113e-06
12 41 79 3239 5.00679016113e-06
12 41 83 3403 5.00679016113e-06
12 41 89 3649 4.05311584473e-06
12 41 97 3977 5.00679016113e-06
12 43 53 2279 5.00679016113e-06
12 43 59 2537 5.00679016113e-06
12 43 61 2623 5.00679016113e-06
12 43 67 2881 5.00679016113e-06
12 43 71 3053 5.00679016113e-06
12 43 73 3139 5.00679016113e-06
12 43 79 3397 5.00679016113e-06
12 43 83 3569 5.00679016113e-06
12 43 89 3827 5.00679016113e-06
12 47 47 2209 4.05311584473e-06
12 47 53 2491 5.00679016113e-06
12 47 59 2773 5.00679016113e-06
12 47 61 2867 5.00679016113e-06
12 47 67 3149 5.00679016113e-06
12 47 71 3337 5.00679016113e-06
12 47 73 3431 5.00679016113e-06
12 47 79 3713 5.00679016113e-06
12 47 83 3901 5.00679016113e-06
12 53 53 2809 3.81469726562e-06
12 53 59 3127 5.00679016113e-06
12 53 61 3233 5.00679016113e-06
12 53 67 3551 5.00679016113e-06
12 53 71 3763 5.96046447754e-06
12 53 73 3869 5.00679016113e-06
12 59 59 3481 5.00679016113e-06
12 59 61 3599 5.00679016113e-06
12 59 67 3953 5.00679016113e-06
12 61 61 3721 5.00679016113e-06
12 61 67 4087 5.00679016113e-06
13 37 113 4181 5.00679016113e-06
13 37 127 4699 5.00679016113e-06
13 41 101 4141 5.00679016113e-06
13 41 103 4223 5.00679016113e-06
13 41 107 4387 5.00679016113e-06
13 41 109 4469 5.00679016113e-06
13 41 113 4633 5.00679016113e-06
13 41 127 5207 5.00679016113e-06
13 43 97 4171 5.00679016113e-06
13 43 101 4343 5.00679016113e-06
13 43 103 4429 5.00679016113e-06
13 43 107 4601 5.00679016113e-06
13 43 109 4687 5.00679016113e-06
13 43 113 4859 5.00679016113e-06
13 43 127 5461 5.00679016113e-06
13 47 89 4183 5.00679016113e-06
13 47 97 4559 4.76837158203e-06
13 47 101 4747 5.00679016113e-06
13 47 103 4841 5.00679016113e-06
13 47 107 5029 5.96046447754e-06
13 47 109 5123 4.76837158203e-06
13 47 113 5311 5.00679016113e-06
13 47 127 5969 5.00679016113e-06
