#bitsize(pq) p q pq min
3 2 2 4 0.007936768990475684
3 2 3 6 0.008066508977208287
4 2 5 10 0.008211851993110031
4 2 7 14 0.016024110023863614
4 3 3 9 0.008198552997782826
4 3 5 15 0.00618563499301672
5 3 7 21 0.007853601011447608
5 5 5 25 0.007952061016112566
6 5 7 35 0.016052872000727803
6 5 11 55 0.007726308016572148
6 7 7 49 0.016688629984855652
7 5 13 65 0.0077252879855223
7 7 11 77 0.00791865901555866
7 7 13 91 0.00787487899651751
7 11 11 121 0.007902679964900017
8 11 13 143 0.007789657975081354
8 11 17 187 0.011173618026077747
8 11 19 209 0.007870796020142734
8 11 23 253 0.007850224035792053
8 13 13 169 0.007963965996168554
8 13 17 221 0.010562468960415572
8 13 19 247 0.017440961964894086
9 11 29 319 0.01749795995419845
9 11 31 341 0.007769455958623439
9 13 23 299 0.007819098944310099
9 13 29 377 0.007829025969840586
9 13 31 403 0.01603052398422733
9 17 17 289 0.01638719701441005
9 17 19 323 0.016417358012404293
9 17 23 391 0.016560322022996843
9 17 29 493 0.01640043401857838
9 19 19 361 0.01684091897914186
9 19 23 437 0.015950159984640777
10 17 31 527 0.007786366972140968
10 17 37 629 0.016252272995188832
10 17 41 697 0.016434252029284835
10 17 43 731 0.01694760104874149
10 17 47 799 0.00783017702633515
10 17 53 901 0.007927175029180944
10 17 59 1003 0.01698859699536115
10 19 29 551 0.016563042998313904
10 19 31 589 0.01698503695661202
10 19 37 703 0.01639161101775244
10 19 41 779 0.016228978987783194
10 19 43 817 0.016241025005001575
10 19 47 893 0.016242020996287465
10 19 53 1007 0.016429271025117487
10 23 23 529 0.016334782005287707
10 23 29 667 0.016312514955643564
10 23 31 713 0.016965511022135615
10 23 37 851 0.016878488997463137
10 23 41 943 0.0077732710051350296
10 23 43 989 0.016904534946661443
10 29 29 841 0.0161524839932099
10 29 31 899 0.016084475035313517
10 31 31 961 0.017003524000756443
11 17 61 1037 0.016435880039352924
11 19 59 1121 0.0164539449615404
11 19 61 1159 0.015921835030894727
11 23 47 1081 0.01634523505344987
11 23 53 1219 0.016211325011681765
11 23 59 1357 0.0165222380310297
11 23 61 1403 0.016159436956513673
11 29 37 1073 0.01610564102884382
11 29 41 1189 0.016897315974347293
11 29 43 1247 0.01696505700238049
11 29 47 1363 0.016935222025495023
11 29 53 1537 0.01610169402556494
11 29 59 1711 0.01643060299102217
11 29 61 1769 0.007734073034953326
11 31 37 1147 0.007834205986000597
11 31 41 1271 0.007715446990914643
11 31 43 1333 0.007890205015428364
11 31 47 1457 0.007796071004122496
11 31 53 1643 0.016296141024213284
11 31 59 1829 0.007834298012312502
11 31 61 1891 0.00784383004065603
11 37 37 1369 0.007840698992367834
11 37 41 1517 0.016419132007285953
11 37 43 1591 0.016979438019916415
11 37 47 1739 0.00782586500281468
11 37 53 1961 0.00785211700713262
11 41 41 1681 0.016409631993155926
11 41 43 1763 0.007725762960035354
11 41 47 1927 0.00783720298204571
11 43 43 1849 0.007835251977667212
11 43 47 2021 0.007852757989894599
12 37 59 2183 0.016531797009520233
12 37 61 2257 0.01648679602658376
12 37 67 2479 0.015914610004983842
12 37 71 2627 0.03232172399293631
12 37 73 2701 0.01626508799381554
12 37 79 2923 0.03232432500226423
12 37 83 3071 0.01694703596876934
12 37 89 3293 0.015998685965314507
12 37 97 3589 0.015989665989764035
12 37 101 3737 0.015998249989934266
