#bitsize(pq) p q pq std
3 2 2 4 0.0
3 2 3 6 0.0
4 2 5 10 0.0
4 2 7 14 0.0
4 3 3 9 0.0
4 3 5 15 0.0
5 3 7 21 0.0
5 5 5 25 0.0
6 5 7 35 0.0
6 5 11 55 0.0
6 7 7 49 0.0
7 5 13 65 0.0
7 7 11 77 0.0
7 7 13 91 0.0
7 11 11 121 0.0
8 11 13 143 0.0
8 11 17 187 0.0
8 11 19 209 0.0
8 11 23 253 0.0
8 13 13 169 0.0
8 13 17 221 0.0
8 13 19 247 0.0
9 11 29 319 0.0
9 11 31 341 0.0
9 13 23 299 0.0
9 13 29 377 0.0
9 13 31 403 0.0
9 17 17 289 0.0
9 17 19 323 0.0
9 17 23 391 0.0
9 17 29 493 0.0
9 19 19 361 0.0
9 19 23 437 0.0
10 17 31 527 0.0
10 17 37 629 0.0
10 17 41 697 0.0
10 17 43 731 0.0
10 17 47 799 0.0
10 17 53 901 0.0
10 17 59 1003 0.0
10 19 29 551 0.0
10 19 31 589 0.0
10 19 37 703 0.0
10 19 41 779 0.0
10 19 43 817 0.0
10 19 47 893 0.0
10 19 53 1007 0.0
10 23 23 529 0.0
10 23 29 667 0.0
10 23 31 713 0.0
10 23 37 851 0.0
10 23 41 943 0.0
10 23 43 989 0.0
10 29 29 841 0.0
10 29 31 899 0.0
10 31 31 961 0.0
11 17 61 1037 0.0
11 19 59 1121 0.0
11 19 61 1159 0.0
11 23 47 1081 0.0
11 23 53 1219 0.0
11 23 59 1357 0.0
11 23 61 1403 0.0
11 29 37 1073 0.0
11 29 41 1189 0.0
11 29 43 1247 0.0
11 29 47 1363 0.0
11 29 53 1537 0.0
11 29 59 1711 0.0
11 29 61 1769 0.0
11 31 37 1147 0.0
11 31 41 1271 0.0
11 31 43 1333 0.0
11 31 47 1457 0.0
11 31 53 1643 0.0
11 31 59 1829 0.0
11 31 61 1891 0.0
11 37 37 1369 0.0
11 37 41 1517 0.0
11 37 43 1591 0.0
11 37 47 1739 0.0
11 37 53 1961 0.0
11 41 41 1681 0.0
11 41 43 1763 0.0
11 41 47 1927 0.0
11 43 43 1849 0.0
11 43 47 2021 0.0
12 37 59 2183 0.0
12 37 61 2257 0.0
12 37 67 2479 0.0
12 37 71 2627 0.0
12 37 73 2701 0.0
12 37 79 2923 0.0
12 37 83 3071 0.0
12 37 89 3293 0.0
12 37 97 3589 0.0
12 37 101 3737 0.0
12 37 103 3811 0.0
12 37 107 3959 0.0
12 37 109 4033 0.0
12 41 53 2173 0.0
12 41 59 2419 0.0
12 41 61 2501 0.0
12 41 67 2747 0.0
12 41 71 2911 0.0
12 41 73 2993 0.0
12 41 79 3239 0.0
12 41 83 3403 0.0
12 41 89 3649 0.0
12 41 97 3977 0.0
12 43 53 2279 0.0
12 43 59 2537 0.0
12 43 61 2623 0.0
12 43 67 2881 0.0
12 43 71 3053 0.0
12 43 73 3139 0.0
12 43 79 3397 0.0
12 43 83 3569 0.0
12 43 89 3827 0.0
12 47 47 2209 0.0
12 47 53 2491 0.0
12 47 59 2773 0.0
12 47 61 2867 0.0
12 47 67 3149 0.0
12 47 71 3337 0.0
12 47 73 3431 0.0
12 47 79 3713 0.0
12 47 83 3901 0.0
12 53 53 2809 0.0
12 53 59 3127 0.0
12 53 61 3233 0.0
12 53 67 3551 0.0
12 53 71 3763 0.0
12 53 73 3869 0.0
12 59 59 3481 0.0
12 59 61 3599 0.0
12 59 67 3953 0.0
12 61 61 3721 0.0
12 61 67 4087 0.0
13 37 113 4181 0.0
13 37 127 4699 0.0
13 41 101 4141 0.0
13 41 103 4223 0.0
13 41 107 4387 0.0
13 41 109 4469 0.0
13 41 113 4633 0.0
13 41 127 5207 0.0
13 43 97 4171 0.0
13 43 101 4343 0.0
13 43 103 4429 0.0
13 43 107 4601 0.0
13 43 109 4687 0.0
13 43 113 4859 0.0
13 43 127 5461 0.0
13 47 89 4183 0.0
13 47 97 4559 0.0
