#bitsize(pq) p q pq mean
3 2 2 4 0.01053687505191192
3 2 3 6 0.013692330045159906
4 2 5 10 0.006534576998092234
4 2 7 14 0.016067131015006453
4 3 3 9 0.015614243980962783
4 3 5 15 0.01209623902104795
5 3 7 21 0.010053755016997457
5 5 5 25 0.020125877985265106
6 5 7 35 0.019370655994862318
6 5 11 55 0.009916122013237327
6 7 7 49 0.010048465977888554
7 5 13 65 0.007634893991053104
7 7 11 77 0.007315226015634835
7 7 13 91 0.006977461976930499
7 11 11 121 0.01385928801028058
8 11 13 143 0.007458115054760128
8 11 17 187 0.008082363987341523
8 11 19 209 0.012490438995882869
8 11 23 253 0.007487510971259326
8 13 13 169 0.017510086006950587
8 13 17 221 0.010769644984975457
8 13 19 247 0.010377925995271653
9 11 29 319 0.010988376976456493
9 11 31 341 0.022515226039104164
9 13 23 299 0.008604714006651193
9 13 29 377 0.008182028017472476
9 13 31 403 0.011217785999178886
9 17 17 289 0.013545503024943173
9 17 19 323 0.008516856003552675
9 17 23 391 0.013042821956332773
9 17 29 493 0.010938840976450592
9 19 19 361 0.011328949010930955
9 19 23 437 0.01131671597249806
10 17 31 527 0.008738823991734535
10 17 37 629 0.011500319989863783
10 17 41 697 0.010944970999844372
10 17 43 731 0.011165412026457489
10 17 47 799 0.013039632991421968
10 17 53 901 0.00869516294915229
10 17 59 1003 0.011589817993808538
10 19 29 551 0.022681147034745663
10 19 31 589 0.011613768001552671
10 19 37 703 0.021628188027534634
10 19 41 779 0.00834681501146406
10 19 43 817 0.022759414976462722
10 19 47 893 0.007725435018073767
10 19 53 1007 0.015773037041071802
10 23 23 529 0.01145670999540016
10 23 29 667 0.02137131104245782
10 23 31 713 0.011271002993453294
10 23 37 851 0.016971185978036374
10 23 41 943 0.008933065983001143
10 23 43 989 0.020797114004381
10 29 29 841 0.011878733988851309
10 29 31 899 0.01135634002275765
10 31 31 961 0.007217480975668877
11 17 61 1037 0.008443252998404205
11 19 59 1121 0.007600508979521692
11 19 61 1159 0.024650363950058818
11 23 47 1081 0.00867327197920531
11 23 53 1219 0.007449048978742212
11 23 59 1357 0.012055623985361308
11 23 61 1403 0.008957443991675973
11 29 37 1073 0.012253366992808878
11 29 41 1189 0.016422845015767962
11 29 43 1247 0.007775904959999025
11 29 47 1363 0.008594801009166986
11 29 53 1537 0.007819188991561532
11 29 59 1711 0.007871015986893326
11 29 61 1769 0.00783821300137788
11 31 37 1147 0.00882250803988427
11 31 41 1271 0.008060263004153967
11 31 43 1333 0.008116771001368761
11 31 47 1457 0.007610667031258345
11 31 53 1643 0.027909030963201076
11 31 59 1829 0.007676962995901704
11 31 61 1891 0.03480656200554222
11 37 37 1369 0.00740072299959138
11 37 41 1517 0.011517346021719277
11 37 43 1591 0.011277896002866328
11 37 47 1739 0.028511816053651273
11 37 53 1961 0.007573298003990203
11 41 41 1681 0.011407569982111454
11 41 43 1763 0.007584451988805085
11 41 47 1927 0.03376581100746989
11 43 43 1849 0.011787363037001342
11 43 47 2021 0.01038740499643609
