#bitsize(pq) p q pq mean
3 2 2 4 0.008297701587434859
3 2 3 6 0.0018114350037649273
4 2 5 10 0.0017098129843361675
4 2 7 14 0.0017413665889762342
4 3 3 9 0.002278133190702647
4 3 5 15 0.0016960815992206335
5 3 7 21 0.0016389896045438945
5 5 5 25 0.001703802205156535
6 5 7 35 0.0017977518145926297
6 5 11 55 0.0015947503852657974
6 7 7 49 0.0019155533984303475
7 5 13 65 0.0016221305937506258
7 7 11 77 0.0016544914105907083
7 7 13 91 0.0015676977927796543
7 11 11 121 0.0017358719720505177
8 11 13 143 0.0017220362089574337
8 11 17 187 0.0016037052031606437
8 11 19 209 0.0021289689932018517
8 11 23 253 0.0016477223951369524
8 13 13 169 0.0017357427976094186
8 13 17 221 0.002717952406965196
8 13 19 247 0.0017785320174880325
9 11 29 319 0.0023196681984700264
9 11 31 341 0.001414142979774624
9 13 23 299 0.0016175727942027152
9 13 29 377 0.0016080019995570183
9 13 31 403 0.0015680696116760374
9 17 17 289 0.002482602186501026
9 17 19 323 0.002529215405229479
9 17 23 391 0.0019042087951675057
9 17 29 493 0.0019373084069229662
9 19 19 361 0.0016798783908598125
9 19 23 437 0.0015859325998462737
10 17 31 527 0.001604363787919283
10 17 37 629 0.003101999987848103
10 17 41 697 0.002979712188243866
10 17 43 731 0.002297312382142991
10 17 47 799 0.0015253077843226492
10 17 53 901 0.0015843985951505602
10 17 59 1003 0.004290193610358983
10 19 29 551 0.0020567608065903188
10 19 31 589 0.0018271323875524103
10 19 37 703 0.00218209580052644
10 19 41 779 0.001887956983409822
10 19 43 817 0.0019133677938953041
10 19 47 893 0.00280028359265998
10 19 53 1007 0.00203160282690078
10 23 23 529 0.0017748123966157437
10 23 29 667 0.002340579591691494
10 23 31 713 0.0022248578141443433
10 23 37 851 0.0018279371899552644
10 23 41 943 0.0016329589998349547
10 23 43 989 0.0018961702240630983
10 29 29 841 0.0018151336000300944
10 29 31 899 0.0017275535967200995
10 31 31 961 0.0020743248052895067
11 17 61 1037 0.0018336443812586368
11 19 59 1121 0.0018869528081268071
11 19 61 1159 0.0016957050072960555
11 23 47 1081 0.0020974673912860452
11 23 53 1219 0.002170110400766134
11 23 59 1357 0.0020121669978834687
11 23 61 1403 0.00179374540457502
11 29 37 1073 0.001996715005952865
11 29 41 1189 0.002170970186125487
11 29 43 1247 0.0016080496017821134
11 29 47 1363 0.001762729394249618
