#bitsize(pq) p q pq median
3 2 2 4 0.0017664760234765708
3 2 3 6 0.0017811490106396377
4 2 5 10 0.0015880480059422553
4 2 7 14 0.001697733998298645
4 3 3 9 0.001943782961461693
4 3 5 15 0.0016623130068182945
5 3 7 21 0.0016425859648734331
5 5 5 25 0.0017319259932264686
6 5 7 35 0.0018188729882240295
6 5 11 55 0.001581670017912984
6 7 7 49 0.0018018929986283183
7 5 13 65 0.001620238006580621
7 7 11 77 0.0016573250177316368
7 7 13 91 0.001534634968265891
7 11 11 121 0.0017601949512027204
8 11 13 143 0.0016645440482534468
8 11 17 187 0.001593524997588247
8 11 19 209 0.0015224769595079124
8 11 23 253 0.0016694950172677636
8 13 13 169 0.001734043995384127
8 13 17 221 0.001720536034554243
8 13 19 247 0.0017371190479025245
9 11 29 319 0.001995390048250556
9 11 31 341 0.0016647339798510075
9 13 23 299 0.0016148569993674755
9 13 29 377 0.0016092470032162964
9 13 31 403 0.0015533090336248279
9 17 17 289 0.0019380479934625328
9 17 19 323 0.0022847509826533496
9 17 23 391 0.00174413196509704
9 17 29 493 0.0019208969897590578
9 19 19 361 0.0016757879639044404
9 19 23 437 0.0015643939841538668
10 17 31 527 0.0015819320105947554
10 17 37 629 0.002727270999457687
10 17 41 697 0.002588449977338314
10 17 43 731 0.0017360219499096274
10 17 47 799 0.001592875982169062
10 17 53 901 0.001542181009426713
10 17 59 1003 0.0048762810183689
10 19 29 551 0.0022027689847163856
10 19 31 589 0.0018558570300228894
10 19 37 703 0.002154084970243275
10 19 41 779 0.00187996297609061
10 19 43 817 0.0019266880117356777
10 19 47 893 0.0024799889652058482
10 19 53 1007 0.0020428430289030075
10 23 23 529 0.00172067602397874
10 23 29 667 0.0021410449990071356
10 23 31 713 0.002174066030420363
10 23 37 851 0.0018285390106029809
10 23 41 943 0.0016243199934251606
10 23 43 989 0.001982713001780212
10 29 29 841 0.0017971399938687682
10 29 31 899 0.0017113600042648613
10 31 31 961 0.0019223119597882032
11 17 61 1037 0.0018342559924349189
11 19 59 1121 0.0016864400240592659
11 19 61 1159 0.0016924330266192555
11 23 47 1081 0.0021120189921930432
11 23 53 1219 0.0022406899952329695
11 23 59 1357 0.0020308539969846606
11 23 61 1403 0.0018079309957101941
11 29 37 1073 0.00189184898044914
11 29 41 1189 0.002173443033825606
11 29 43 1247 0.0016071440186351538
11 29 47 1363 0.001654266961850226
11 29 53 1537 0.0015935859992168844
11 29 59 1711 0.0021768329897895455
11 29 61 1769 0.0016337319975718856
11 31 37 1147 0.0016298030386678874
11 31 41 1271 0.0015874819946475327
11 31 43 1333 0.001562433026265353
11 31 47 1457 0.0015465350006707013
11 31 53 1643 0.0019012659904547036
11 31 59 1829 0.0017045569838955998
11 31 61 1891 0.0017130329506471753
11 37 37 1369 0.001616535009816289
11 37 41 1517 0.002102444996125996
11 37 43 1591 0.0017632620292715728
11 37 47 1739 0.0016228339518420398
11 37 53 1961 0.0016841430333442986
11 41 41 1681 0.001710988988634199
11 41 43 1763 0.0015299920341931283
11 41 47 1927 0.0016757129924371839
11 43 43 1849 0.0016358119901269674
11 43 47 2021 0.0016227859887294471
12 37 59 2183 0.0020834069582633674
12 37 61 2257 0.0019344940083101392
