#bitsize(pq) p q pq std
3 2 2 4 0.01300947973107152
3 2 3 6 6.182707291562688e-05
4 2 5 10 0.00017576501995145987
4 2 7 14 0.00012718037415685118
4 3 3 9 0.0006218815984920866
4 3 5 15 9.674374634376127e-05
5 3 7 21 3.688452580903133e-05
5 5 5 25 6.065180200998528e-05
6 5 7 35 5.9282775057013794e-05
6 5 11 55 3.0842849467130054e-05
6 7 7 49 0.00022396466238131768
7 5 13 65 2.4965270175931485e-05
7 7 11 77 4.755738574991021e-05
7 7 13 91 5.377215247168259e-05
7 11 11 121 0.00010950204454781376
8 11 13 143 0.0001353292086335205
8 11 17 187 6.905312329582738e-05
8 11 19 209 0.001884593411204869
8 11 23 253 4.773731751933059e-05
8 13 13 169 1.5395160546357117e-05
8 13 17 221 0.0018769340390842743
8 13 19 247 7.56217802572371e-05
9 11 29 319 0.0009393152792767877
9 11 31 341 0.0003349455452905754
9 13 23 299 6.285959729291077e-05
9 13 29 377 6.322586579202879e-05
9 13 31 403 3.202628716525165e-05
9 17 17 289 0.0010975888817828104
9 17 19 323 0.0007964373551098421
9 17 23 391 0.00025553692512649977
9 17 29 493 2.3172474124591748e-05
9 19 19 361 4.412385310813514e-05
9 19 23 437 6.191870662794028e-05
10 17 31 527 6.878465199612785e-05
10 17 37 629 0.0011382548608265767
10 17 41 697 0.0013476829835087356
10 17 43 731 0.0011036937585715435
10 17 47 799 0.00022244877580674527
10 17 53 901 6.325617826358005e-05
10 17 59 1003 0.0012353377027555818
10 19 29 551 0.00023031348016657602
10 19 31 589 4.343937639734157e-05
10 19 37 703 8.018128112021186e-05
10 19 41 779 3.977201860504086e-05
10 19 43 817 4.4833024106240546e-05
10 19 47 893 0.0010352155166808653
10 19 53 1007 4.606741357031314e-05
10 23 23 529 0.00016497399643876213
10 23 29 667 0.0002823921167126269
10 23 31 713 0.00015437969315248537
10 23 37 851 1.3027625045226344e-05
10 23 41 943 6.735471348961412e-05
10 23 43 989 0.00013496325809360363
10 29 29 841 4.8808841185655966e-05
10 29 31 899 3.227278774900682e-05
10 31 31 961 0.0002783309784761956
11 17 61 1037 4.685680030041566e-05
11 19 59 1121 0.0004028323975380642
11 19 61 1159 3.71472831699953e-05
11 23 47 1081 6.988518871517464e-05
11 23 53 1219 0.00020169906371092007
11 23 59 1357 8.048833553908079e-05
11 23 61 1403 5.892701188720692e-05
11 29 37 1073 0.0002774784865594442
11 29 41 1189 0.00042309596116409093
11 29 43 1247 6.704584109008245e-05
11 29 47 1363 0.00018992381692146452
11 29 53 1537 0.00030954977881758535
11 29 59 1711 3.5296547725446984e-05
11 29 61 1769 5.7741496933394846e-05
11 31 37 1147 3.142054149349329e-05
11 31 41 1271 4.7534444985691194e-05
11 31 43 1333 7.773335262798944e-05
11 31 47 1457 5.515623254018924e-05
11 31 53 1643 0.0004632952774361243
11 31 59 1829 3.636636456888816e-05
11 31 61 1891 4.448436615653454e-05
11 37 37 1369 3.415867592969853e-05
11 37 41 1517 0.0007300671403721536
11 37 43 1591 0.0012170294830468392
11 37 47 1739 2.802283266160426e-05
11 37 53 1961 3.2760045082569884e-05
11 41 41 1681 0.0012571024458045263
11 41 43 1763 9.227461882320795e-05
11 41 47 1927 3.703186860427896e-05
11 43 43 1849 4.052012636490461e-05
11 43 47 2021 4.171243950420838e-05
12 37 59 2183 5.793993449902758e-05
12 37 61 2257 0.00011560626993188738
12 37 67 2479 0.01108548332427398
12 37 71 2627 0.0031800620990816214
12 37 73 2701 6.748993994616152e-05
12 37 79 2923 0.002049207231681877
12 37 83 3071 0.0032896791075047757
12 37 89 3293 0.0049386013439806815
12 37 97 3589 0.001617216891712692
12 37 101 3737 0.0038719039676139376
12 37 103 3811 0.003489071713757329
12 37 107 3959 0.01002692439499347
12 37 109 4033 0.010210336019569846
12 41 53 2173 4.443124378224813e-05
12 41 59 2419 4.3056927349218096e-05
12 41 61 2501 0.00019749591719722584
12 41 67 2747 0.0040126740130283335
12 41 71 2911 0.004659603457993939
12 41 73 2993 2.7229247539980887e-05
12 41 79 3239 0.0039962299177513025
12 41 83 3403 0.001975326578870818
12 41 89 3649 0.004318317120083011
12 41 97 3977 0.0020113391135482194
12 43 53 2279 7.488539181008724e-05
12 43 59 2537 7.353282865365919e-05
12 43 61 2623 0.0002742320164000922
12 43 67 2881 0.0032058349444161363
12 43 71 3053 0.001962436722327101
12 43 73 3139 0.0033407375809252128
12 43 79 3397 0.00412542660274517
12 43 83 3569 0.004655965856255601
12 43 89 3827 6.176033793729802e-05
12 47 47 2209 5.162818411347064e-05
12 47 53 2491 3.936518474718978e-05
