#bitsize(pq) p q pq mean
3 2 2 4 0.0009193686302751303
3 2 3 6 0.001205616584047675
4 2 5 10 0.0014944617985747754
4 2 7 14 0.001177430583629757
4 3 3 9 0.0012749883928336204
4 3 5 15 0.0012102407868951558
5 3 7 21 0.0011280617793090642
5 5 5 25 0.0012344409944489599
6 5 7 35 0.0013647072133608162
6 5 11 55 0.0016528613981790841
6 7 7 49 0.0017660630051977932
7 5 13 65 0.0017689359840005637
7 7 11 77 0.0016598655842244626
7 7 13 91 0.002016584202647209
7 11 11 121 0.0020839169970713555
8 11 13 143 0.002255228813737631
8 11 17 187 0.0021940484060905875
8 11 19 209 0.0017434770008549095
8 11 23 253 0.0019649110035970807
8 13 13 169 0.0020799502031877636
8 13 17 221 0.0020794981974177063
8 13 19 247 0.0020683557842858134
9 11 29 319 0.002460127591621131
9 11 31 341 0.0024652051855809987
9 13 23 299 0.002500887995120138
9 13 29 377 0.002633761998731643
9 13 31 403 0.002318493602797389
9 17 17 289 0.00248064718907699
9 17 19 323 0.002309880021493882
9 17 23 391 0.002032301784493029
9 17 29 493 0.002473887987434864
9 19 19 361 0.002462761814240366
9 19 23 437 0.002122184808831662
10 17 31 527 0.0023893023957498372
10 17 37 629 0.0023589588003233076
10 17 41 697 0.0026268431800417604
10 17 43 731 0.0022629584302194415
10 17 47 799 0.002447169425431639
10 17 53 901 0.0020450799842365087
10 17 59 1003 0.0029814545880071817
10 19 29 551 0.0019059581914916634
10 19 31 589 0.002180635591503233
10 19 37 703 0.0022658022004179656
10 19 41 779 0.0014274448156356811
10 19 43 817 0.0015791013836860656
10 19 47 893 0.0014274643850512802
10 19 53 1007 0.002257959987036884
10 23 23 529 0.0023668949957937
10 23 29 667 0.0021004298119805752
10 23 31 713 0.0019169370061717927
10 23 37 851 0.002744935010559857
10 23 41 943 0.0026651557884179054
10 23 43 989 0.0023417928139679136
10 29 29 841 0.002210897603072226
10 29 31 899 0.002626364619936794
10 31 31 961 0.0021670267800800503
11 17 61 1037 0.002453373186290264
11 19 59 1121 0.0034857464139349758
11 19 61 1159 0.0021300159860402346
11 23 47 1081 0.002565332199446857
11 23 53 1219 0.0025467681931331753
11 23 59 1357 0.002591973775997758
11 23 61 1403 0.0030604628031142057
11 29 37 1073 0.0019603733904659747
11 29 41 1189 0.002661638194695115
11 29 43 1247 0.00295779180014506
11 29 47 1363 0.002311908407136798
11 29 53 1537 0.00292088141432032
11 29 59 1711 0.0023087094072252513
11 29 61 1769 0.002261957002338022
11 31 37 1147 0.0036740059964358806
11 31 41 1271 0.0030108513892628253
11 31 43 1333 0.0020872988156042994
11 31 47 1457 0.00328716398216784
11 31 53 1643 0.0028543635969981553
11 31 59 1829 0.0020950683974660933
11 31 61 1891 0.0015671011875383555
11 37 37 1369 0.001782772014848888
11 37 41 1517 0.00162936057895422
11 37 43 1591 0.0014355839928612113
