#bitsize(pq) p q pq median
3 2 2 4 0.0012647179974010214
3 2 3 6 0.0012154895048297476
4 2 5 10 0.0012557459995150566
4 2 7 14 0.0012576884982991032
4 3 3 9 0.0013198599990573712
4 3 5 15 0.0012754515009874012
5 3 7 21 0.0015599430007569026
5 5 5 25 0.0015527739997196477
6 5 7 35 0.0017357965007249732
6 5 11 55 0.0016473145005875267
6 7 7 49 0.0016566025005886331
7 5 13 65 0.00182917099664337
7 7 11 77 0.0017953534988919273
7 7 13 91 0.0018815750008798204
7 11 11 121 0.0018766479988698848
8 11 13 143 0.001997839499381371
8 11 17 187 0.002074168500257656
8 11 19 209 0.002011712502280716
8 11 23 253 0.002014874502492603
8 13 13 169 0.0020550984954752494
8 13 17 221 0.001978406999114668
8 13 19 247 0.002036758502072189
9 11 29 319 0.002115716997650452
9 11 31 341 0.002219369500380708
9 13 23 299 0.0022621725001954474
9 13 29 377 0.0022391929996956605
9 13 31 403 0.0021911565017944667
9 17 17 289 0.0021264459974190686
9 17 19 323 0.0010973040007229429
9 17 23 391 0.001042921001499053
9 17 29 493 0.0022095034983067308
9 19 19 361 0.002080496502458118
9 19 23 437 0.0012084270019840915
10 17 31 527 0.0021755579982709605
10 17 37 629 0.0023837184999138117
10 17 41 697 0.0024089930011541583
10 17 43 731 0.0024141399990185164
10 17 47 799 0.00241287050084793
10 17 53 901 0.0022599805015488528
10 17 59 1003 0.0022780525032430887
10 19 29 551 0.0020518944984360132
10 19 31 589 0.0021562685033131856
10 19 37 703 0.002382670503720874
10 19 41 779 0.0022274734983511735
10 19 43 817 0.002334397500817431
10 19 47 893 0.0021995605020492803
10 19 53 1007 0.0015002815016487148
10 23 23 529 0.0022058094982639886
10 23 29 667 0.0023876619998191018
10 23 31 713 0.002286882503540255
10 23 37 851 0.0012300425005378202
10 23 41 943 0.0024557109973102342
10 23 43 989 0.002550992001488339
10 29 29 841 0.0022624909979640506
10 29 31 899 0.0022867994994157925
10 31 31 961 0.002431973498460138
11 17 61 1037 0.002253251997899497
11 19 59 1121 0.002725607995671453
11 19 61 1159 0.002561059001891408
11 23 47 1081 0.0025045985021279193
11 23 53 1219 0.002586137499747565
11 23 59 1357 0.0024264609928650316
11 23 61 1403 0.0023745590006001294
11 29 37 1073 0.0024046545004239306
11 29 41 1189 0.002403442998911487
11 29 43 1247 0.002484445500158472
11 29 47 1363 0.002535337000153959
11 29 53 1537 0.0025283719987783115
11 29 59 1711 0.002388866003457224
11 29 61 1769 0.0023167469989857636
11 31 37 1147 0.002151479999156436
11 31 41 1271 0.0024799295024422463
11 31 43 1333 0.0024763299988990184
11 31 47 1457 0.0024421150010311976
11 31 53 1643 0.0024925375037128106
11 31 59 1829 0.002203183001256548
11 31 61 1891 0.001972336496692151
11 37 37 1369 0.002451250002195593
11 37 41 1517 0.002347801000723848
11 37 43 1591 0.002499725502275396
11 37 47 1739 0.0026541890001681168
11 37 53 1961 0.002512200502678752
11 41 41 1681 0.0024292519956361502
11 41 43 1763 0.002476472502166871
11 41 47 1927 0.0024995109997689724
11 43 43 1849 0.0025960234997910447
11 43 47 2021 0.0024297464988194406
