#bitsize(pq) p q pq min
3 2 2 4 0.0007980280061019585
3 2 3 6 0.0010490249987924471
4 2 5 10 0.0010988319991156459
4 2 7 14 0.0010795299967867322
4 3 3 9 0.0010936600010609254
4 3 5 15 0.0006724699996993877
5 3 7 21 0.0010812280015670694
5 5 5 25 0.0011398529750294983
6 5 7 35 0.0012008550111204386
6 5 11 55 0.0012273780012037605
6 7 7 49 0.0008267499943030998
7 5 13 65 0.0015635599993402138
7 7 11 77 0.0015290719966287725
7 7 13 91 0.0014049059973331168
7 11 11 121 0.0008754369991947897
8 11 13 143 0.0013785020055365749
8 11 17 187 0.0015143969940254465
8 11 19 209 0.0016422199551016092
8 11 23 253 0.0009260579972760752
8 13 13 169 0.0014949440010241233
8 13 17 221 0.0009287400025641546
8 13 19 247 0.0009213459998136386
9 11 29 319 0.0012178890028735623
9 11 31 341 0.0009665429970482364
9 13 23 299 0.0016082660004030913
9 13 29 377 0.0015710320003563538
9 13 31 403 0.000940243000513874
9 17 17 289 0.0009748700031195767
9 17 19 323 0.0009625390011933632
9 17 23 391 0.0009604220031178556
9 17 29 493 0.0009766439980012365
9 19 19 361 0.0009636539980419911
9 19 23 437 0.0009566630033077672
10 17 31 527 0.0012779909957316704
10 17 37 629 0.0010361870008637197
10 17 41 697 0.0013462439965223894
10 17 43 731 0.0012211620050948113
10 17 47 799 0.0012017449989798479
10 17 53 901 0.0010254000007989816
10 17 59 1003 0.001091197998903226
10 19 29 551 0.0010542769960011356
10 19 31 589 0.0010285050011589192
10 19 37 703 0.0016111320001073182
10 19 41 779 0.001038198999594897
10 19 43 817 0.0010484240046935156
10 19 47 893 0.0010402750049252063
10 19 53 1007 0.0010356980055803433
10 23 23 529 0.0011156830005347729
10 23 29 667 0.001580258998728823
10 23 31 713 0.0011810970026999712
10 23 37 851 0.001020232004520949
10 23 41 943 0.0013566240013460629
10 23 43 989 0.0010819110029842705
10 29 29 841 0.0010343449976062402
10 29 31 899 0.0010358270010328852
10 31 31 961 0.0010733180024544708
11 17 61 1037 0.0011083909994340502
11 19 59 1121 0.0011661739990813658
11 19 61 1159 0.0015569549941574223
11 23 47 1081 0.0011266209985478781
11 23 53 1219 0.0011292780036455952
11 23 59 1357 0.001174555996840354
11 23 61 1403 0.001118651998694986
11 29 37 1073 0.0011055479990318418
11 29 41 1189 0.001708533993223682
11 29 43 1247 0.0010889449986279942
11 29 47 1363 0.0012350519973551854
11 29 53 1537 0.0016114649988594465
11 29 59 1711 0.001116592000471428
11 29 61 1769 0.0010993760006385855
11 31 37 1147 0.0010900009947363287
11 31 41 1271 0.0011550970011739992
11 31 43 1333 0.0011669830055325292
11 31 47 1457 0.0011480910034151748
11 31 53 1643 0.0011204930051462725
11 31 59 1829 0.0011274339994997717
11 31 61 1891 0.0011230379968765192
11 37 37 1369 0.0013284769956953824
11 37 41 1517 0.0011153469968121499
11 37 43 1591 0.0011594800016609952
11 37 47 1739 0.0012201389981782995
11 37 53 1961 0.0011520469997776672
11 41 41 1681 0.0011161800066474825
11 41 43 1763 0.001111533994844649
11 41 47 1927 0.0011346020037308335
11 43 43 1849 0.0015428059996338561
11 43 47 2021 0.001184583998110611
12 37 59 2183 0.0011904450002475642
12 37 61 2257 0.001839907003159169
12 37 67 2479 0.0012093969999114051
12 37 71 2627 0.0012501449964474887
12 37 73 2701 0.001261113997315988
12 37 79 2923 0.001183163003588561
12 37 83 3071 0.001169169001514092
12 37 89 3293 0.0017857069979072548
12 37 97 3589 0.0011991490027867258
12 37 101 3737 0.0012103830013074912
12 37 103 3811 0.0012830100022256374
12 37 107 3959 0.0011870979942614213
12 37 109 4033 0.0011913170019397512
12 41 53 2173 0.0012670700016315095
12 41 59 2419 0.0014443909967667423
12 41 61 2501 0.0012165010048192926
12 41 67 2747 0.0016464680011267774
12 41 71 2911 0.0011691170002450235
12 41 73 2993 0.0012251750013092533
12 41 79 3239 0.0012082149987691082
12 41 83 3403 0.0013572469979408197
12 41 89 3649 0.001213135001307819
12 41 97 3977 0.0013452130006044172
12 43 53 2279 0.0011650450032902882
12 43 59 2537 0.0012389010007609613
12 43 61 2623 0.0012222970035509206
12 43 67 2881 0.0011664340054267086
12 43 71 3053 0.0011706629957188852
12 43 73 3139 0.0018061049995594658
12 43 79 3397 0.0012235469985171221
12 43 83 3569 0.001179272003355436
12 43 89 3827 0.0017525680013932288
12 47 47 2209 0.0012019569985568523
12 47 53 2491 0.0011704420030582696
12 47 59 2773 0.0018444649977027439
12 47 61 2867 0.0011774879967560992
12 47 67 3149 0.0012223969970364124
12 47 71 3337 0.0012299919981160201
12 47 73 3431 0.0011628230058704503
12 47 79 3713 0.0012050929944962263
12 47 83 3901 0.0012314519990468398
12 53 53 2809 0.0012365959992166609
12 53 59 3127 0.001148048999311868
12 53 61 3233 0.0013263259970699437
12 53 67 3551 0.0012328759985393845
12 53 71 3763 0.0011848779977299273
12 53 73 3869 0.001190379996842239
12 59 59 3481 0.001185569002700504
12 59 61 3599 0.0011872719987877645
12 59 67 3953 0.001209401998494286
12 61 61 3721 0.0011765380040742457
12 61 67 4087 0.001241386002220679
13 37 113 4181 0.0013456540036713704
13 37 127 4699 0.0012772260015481152
13 41 101 4141 0.001270603999728337
13 41 103 4223 0.001896545996714849
13 41 107 4387 0.0013548639981308952
13 41 109 4469 0.0013442309937090613
13 41 113 4633 0.0014386219991138205
13 41 127 5207 0.0013566050038207322
13 43 97 4171 0.0013256979946163483
13 43 101 4343 0.001415569000528194
13 43 103 4429 0.0012613120052265003
13 43 107 4601 0.0013181449976400472
13 43 109 4687 0.0013387739963945933
13 43 113 4859 0.0012498369978857227
13 43 127 5461 0.0015301039966288954
13 47 89 4183 0.0015275910045602359
13 47 97 4559 0.0012813300054403953
13 47 101 4747 0.0018295409972779453
13 47 103 4841 0.0019480940027278848
13 47 107 5029 0.0013068080006632954
13 47 109 5123 0.0018607840029289946
13 47 113 5311 0.0013795410050079226
13 47 127 5969 0.0012834910303354263
13 53 79 4187 0.0013918059994466603
13 53 83 4399 0.001287828003114555
13 53 89 4717 0.00179760399623774
13 53 97 5141 0.0013327400010894053
13 53 101 5353 0.0012887190023320727
13 53 103 5459 0.0014974590012570843
13 53 107 5671 0.0012988899979973212
13 53 109 5777 0.00129188499704469
13 53 113 5989 0.0018398190004518256
13 53 127 6731 0.0013227589952293783
13 59 71 4189 0.0012654130041482858
13 59 73 4307 0.0013800989981973544
13 59 79 4661 0.0012862610019510612
13 59 83 4897 0.0012792449997505173
13 59 89 5251 0.001372475002426654
13 59 97 5723 0.0013120319999870844
13 59 101 5959 0.001380868001433555
13 59 103 6077 0.001305108999076765
13 59 107 6313 0.0013094179957988672
13 59 109 6431 0.001293062996410299
13 59 113 6667 0.0013628099986817688
13 59 127 7493 0.001276777999009937
13 61 71 4331 0.001580057003593538
13 61 73 4453 0.0012693069947999902
13 61 79 4819 0.0012823880024370737
13 61 83 5063 0.0013464270014083013
13 61 89 5429 0.001290617001359351
13 61 97 5917 0.0012780780016328208
13 61 101 6161 0.001640111004235223
13 61 103 6283 0.0012801859993487597
13 61 107 6527 0.001309651997871697
13 61 109 6649 0.0013242389977676794
13 61 113 6893 0.0013518810010282323
13 61 127 7747 0.0013285730019561015
13 67 67 4489 0.00133976100187283
13 67 71 4757 0.0012569329992402345
13 67 73 4891 0.0012763260019710287
13 67 79 5293 0.0013055310046183877
13 67 83 5561 0.0013352430032682605
13 67 89 5963 0.001280516000406351
13 67 97 6499 0.0013143540054443292
13 67 101 6767 0.0013205329960328527
13 67 103 6901 0.0012606210002559237
13 67 107 7169 0.0013527350020012818
13 67 109 7303 0.0013539330029743724
13 67 113 7571 0.0013348720021895133
13 71 71 5041 0.0012789679967681877
13 71 73 5183 0.0012787739979103208
13 71 79 5609 0.0013174179985071532
13 71 83 5893 0.0012488310021581128
13 71 89 6319 0.0013273830045363866
13 71 97 6887 0.001329735001490917
13 71 101 7171 0.0012947290015290491
13 71 103 7313 0.0013405999998212792
13 71 107 7597 0.0012989520037081093
13 71 109 7739 0.0013827799702994525
13 71 113 8023 0.0013365029954002239
13 73 73 5329 0.0014456509961746633
13 73 79 5767 0.0014858960057608783
13 73 83 6059 0.0013135990011505783
13 73 89 6497 0.0014760389967705123
13 73 97 7081 0.0015109090018086135
13 73 101 7373 0.001296039998123888
13 73 103 7519 0.001280327000131365
13 73 107 7811 0.0014124209992587566
13 73 109 7957 0.001327380996372085
13 79 79 6241 0.0014268400045693852
13 79 83 6557 0.001308546998188831
13 79 89 7031 0.0012986049987375736
13 79 97 7663 0.0012890319994767196
13 79 101 7979 0.001812421003705822
13 79 103 8137 0.0013327520064194687
