#bitsize(pq) p q pq std
3 2 2 4 1.8754197481101286e-05
3 2 3 6 0.00010031138584017522
4 2 5 10 0.0004099058418976774
4 2 7 14 4.6245437007583334e-05
4 3 3 9 1.2142675308426155e-05
4 3 5 15 1.983350489319891e-05
5 3 7 21 2.088415114591089e-05
5 5 5 25 8.133542153897767e-05
6 5 7 35 0.0001896477279944252
6 5 11 55 0.0001472122555388557
6 7 7 49 0.0002207840375376354
7 5 13 65 3.460722683554287e-05
7 7 11 77 3.451341250252488e-05
7 7 13 91 4.7736913397459005e-05
7 11 11 121 0.00016411964051658845
8 11 13 143 0.0003830134783243019
8 11 17 187 0.00025155336867977725
8 11 19 209 0.00013888297115245002
8 11 23 253 3.020355665312619e-05
8 13 13 169 9.87802678160818e-05
8 13 17 221 8.51342645647614e-05
8 13 19 247 0.00014188345563492138
9 11 29 319 0.00040345365091897726
9 11 31 341 0.00021560494226253253
9 13 23 299 0.0003395470241940504
9 13 29 377 0.00041400819493711316
9 13 31 403 7.000394945402663e-05
9 17 17 289 0.0002162264069187844
9 17 19 323 0.0001760582743907014
9 17 23 391 0.00010272151382921371
9 17 29 493 0.00031683711887826665
9 19 19 361 9.886685497248352e-05
9 19 23 437 0.00015061076320569352
10 17 31 527 0.00021996617774016467
10 17 37 629 0.00012161928354462074
10 17 41 697 0.00020320044618084336
10 17 43 731 0.00035959635966788933
10 17 47 799 9.233133464621572e-05
10 17 53 901 0.0001324289082263285
10 17 59 1003 0.0013543671601463183
10 19 29 551 0.00014242281167089528
10 19 31 589 0.0001684564038341625
10 19 37 703 0.0002983975729175562
10 19 41 779 8.339189694967691e-05
10 19 43 817 0.00016336757367536623
10 19 47 893 6.139400904840661e-05
10 19 53 1007 0.00014941287645577726
10 23 23 529 0.00014620686773255946
10 23 29 667 9.727872826194066e-05
10 23 31 713 9.561903343859851e-05
10 23 37 851 0.0001710789229239639
10 23 41 943 0.00018352935691123357
10 23 43 989 0.00023074582899538292
10 29 29 841 0.00031465104202793196
10 29 31 899 0.0002902102351900085
10 31 31 961 0.0001258300692283083
11 17 61 1037 0.0003323541481322285
11 19 59 1121 0.0005607394902927895
11 19 61 1159 0.00019118131944104817
11 23 47 1081 0.0001322077218844685
11 23 53 1219 0.0004888502075463708
11 23 59 1357 0.0002763854979036743
11 23 61 1403 0.00016642578096953413
11 29 37 1073 0.00017862356651918675
11 29 41 1189 0.0003247333082948691
11 29 43 1247 0.00015132942077120527
11 29 47 1363 0.0004450791605683971
11 29 53 1537 0.0004516306744727179
11 29 59 1711 0.0002317192339341929
11 29 61 1769 0.00013255101801779465
11 31 37 1147 0.0011550066136989015
11 31 41 1271 8.194968827918408e-05
11 31 43 1333 0.0002641627980217542
11 31 47 1457 0.0004074523037356167
11 31 53 1643 0.0010452606637712982
11 31 59 1829 0.0002423732244146583
11 31 61 1891 0.00035874995283638494
11 37 37 1369 0.00032912597094620564
11 37 41 1517 0.00041019503059346464
11 37 43 1591 0.00016247386701154855
11 37 47 1739 0.0002831989266973186
11 37 53 1961 0.00011126940700787881
11 41 41 1681 0.00020972312136203786
11 41 43 1763 0.000706558327524526
11 41 47 1927 0.0005982555908102643
11 43 43 1849 0.0015231001065589933
11 43 47 2021 0.0004438937516094487
12 37 59 2183 0.0005646992436847883
12 37 61 2257 0.0004404394210663531
12 37 67 2479 0.0005238627679128233
12 37 71 2627 0.00019960380129818497
12 37 73 2701 0.0005617949980610566
12 37 79 2923 0.00025622926820670626
12 37 83 3071 0.001360448438674794
12 37 89 3293 0.00019057016627237574
12 37 97 3589 0.0002237309771722415
12 37 101 3737 0.0003336576910595845
12 37 103 3811 0.00030074487538230053
12 37 107 3959 0.0004610483284012469
12 37 109 4033 0.0002691654258296186
12 41 53 2173 0.0003128735905945534
12 41 59 2419 0.0003080041684751701
12 41 61 2501 0.0002169982745005187
12 41 67 2747 0.001315311473371808
12 41 71 2911 0.0003436157791718151
12 41 73 2993 0.0005563612769282308
12 41 79 3239 0.0007310884358969012
12 41 83 3403 0.0006251435831253863
12 41 89 3649 0.0004741427379311737
12 41 97 3977 0.0008316157958776307
12 43 53 2279 0.0008687302762979492
12 43 59 2537 0.0005600209118065691
12 43 61 2623 0.00033174038675651426
12 43 67 2881 0.0005403566415483804
12 43 71 3053 0.0005041417071215035
12 43 73 3139 0.0005784223692938943
12 43 79 3397 0.0004985452777344773
12 43 83 3569 0.0004252982597837225
12 43 89 3827 0.00017636669787025612
12 47 47 2209 0.0003708260676559386
12 47 53 2491 0.0007580041788505956
12 47 59 2773 0.0006155091114683292
12 47 61 2867 0.0006268806325576146
12 47 67 3149 0.0005543581961608118
12 47 71 3337 0.0008115116969160494
12 47 73 3431 0.00023412877076813297
12 47 79 3713 0.00035871494864216693
12 47 83 3901 0.00038914739279393855
12 53 53 2809 0.0011261868677129435
12 53 59 3127 0.00032962330400710717
12 53 61 3233 0.00038884032854447873
12 53 67 3551 0.00024033589379368587
12 53 71 3763 0.0005488049188851173
12 53 73 3869 0.00013975478428548136
12 59 59 3481 0.0002542929119521221
12 59 61 3599 0.0003203296350712902
12 59 67 3953 0.00034039939198208445
12 61 61 3721 0.00017137642762017535
12 61 67 4087 0.0006227727245692587
13 37 113 4181 0.0009949948538980702
13 37 127 4699 0.0005551773496406053
13 41 101 4141 0.0004703396257775213
13 41 103 4223 0.0006853493875204252
13 41 107 4387 0.0012981328441996577
13 41 109 4469 0.0008224086755345091
13 41 113 4633 0.0003964289253236878
13 41 127 5207 0.001135220188409523
13 43 97 4171 0.000976593825715565
13 43 101 4343 0.00038717244371303374
13 43 103 4429 0.00022633945635358035
13 43 107 4601 0.00047092009130874116
13 43 109 4687 0.00039703214444993326
13 43 113 4859 0.0010285185935795368
13 43 127 5461 0.0005974217338378228
13 47 89 4183 0.0011615909863202448
13 47 97 4559 0.00040613093699998014
13 47 101 4747 0.0006217914469935355
13 47 103 4841 0.0003977056417445209
13 47 107 5029 0.00045597750310767167
13 47 109 5123 0.00030397144316313455
13 47 113 5311 0.0008635507944485559
13 47 127 5969 0.002034520191416674
13 53 79 4187 0.000135574318011502
13 53 83 4399 9.617366082411762e-05
13 53 89 4717 0.0014435994896126751
13 53 97 5141 0.0008856942944604307
13 53 101 5353 0.00026445798377265487
13 53 103 5459 0.0007498549452107273
13 53 107 5671 0.0004776711516651847
13 53 109 5777 0.0014263934904523348
13 53 113 5989 0.0005079589386821189
13 53 127 6731 0.00038287413093991994
13 59 71 4189 0.00013006620006730048
13 59 73 4307 0.00023921852861778678
13 59 79 4661 0.0007684651141307467
13 59 83 4897 0.0002326125457628953
13 59 89 5251 0.0002045271785219142
13 59 97 5723 0.0005538739859637944
13 59 101 5959 0.0006453727827225063
13 59 103 6077 0.0004980012047916758
13 59 107 6313 0.0005954463729482734
13 59 109 6431 0.00024136276958006397
13 59 113 6667 0.0007362042705727791
13 59 127 7493 0.0010634723707801839
13 61 71 4331 0.0004784181319745004
13 61 73 4453 0.0005214562083543349
13 61 79 4819 0.00029834891872564855
13 61 83 5063 0.00021499372457406074
13 61 89 5429 0.00042067504659582694
13 61 97 5917 0.00022557494895766915
13 61 101 6161 0.0007002740093198522
13 61 103 6283 0.00014116995194357208
13 61 107 6527 0.0010644940564652951
13 61 109 6649 0.0007591477431209306
13 61 113 6893 0.00024809179879552824
13 61 127 7747 0.0011538261182429943
13 67 67 4489 0.00032194389703313364
13 67 71 4757 0.00014998473122200597
13 67 73 4891 0.0012567231527096225
13 67 79 5293 0.00018571795456388975
13 67 83 5561 0.0012576326982831243
13 67 89 5963 0.00014270753539710098
13 67 97 6499 0.0006985018404672796
13 67 101 6767 0.00038210509180858107
13 67 103 6901 0.0005790188466220262
13 67 107 7169 0.0005013569335039687
13 67 109 7303 0.0001665414035038082
13 67 113 7571 0.0001584232462452166
13 71 71 5041 0.0003552487355310265
13 71 73 5183 0.0005594242597879895
13 71 79 5609 0.0002839775171584331
13 71 83 5893 0.0004971663053051222
13 71 89 6319 0.00029398092061483166
13 71 97 6887 0.0002697071753705885
13 71 101 7171 0.001494895329558756
13 71 103 7313 0.0007311587683565114
13 71 107 7597 0.0003810135796633203
13 71 109 7739 0.0010020782275848162
13 71 113 8023 0.00040608975722932676
13 73 73 5329 0.0009055936325302863
13 73 79 5767 0.000307143922730461
