#n p q pq seed time
3 2 2 4 49 0.0008471509972878266
3 2 3 6 27 0.0007875629999034572
4 2 5 10 62 0.0008154269999067765
4 2 7 14 5 0.0008044839996728115
4 3 3 9 70 0.0008766560022195335
4 3 5 15 44 0.00084037800115766
5 3 7 21 96 0.0009315370007243473
5 5 5 25 55 0.0009430779973627068
6 5 7 35 49 0.0010081040018121712
6 5 11 55 91 0.0009535239987599198
6 7 7 49 59 0.0010027479984273668
7 5 13 65 23 0.0010299140012648422
7 7 11 77 22 0.0010273029984091409
7 7 13 91 49 0.0010482140023668762
7 11 11 121 41 0.0010722560000431258
8 11 13 143 81 0.001031752999551827
8 11 17 187 66 0.00110409199987771
8 11 19 209 89 0.001071294998837402
8 11 23 253 87 0.0011057550000259653
8 13 13 169 36 0.0011292670023976825
8 13 17 221 48 0.0010916850005742162
8 13 19 247 75 0.0011344260019541252
9 11 29 319 97 0.00120913700084202
9 11 31 341 56 0.001115220999054145
9 13 23 299 34 0.0011852989991893992
9 13 29 377 62 0.0011394220018701162
9 13 31 403 99 0.0011719889989763033
9 17 17 289 31 0.001165740002761595
9 17 19 323 20 0.0011563870029931422
9 17 23 391 70 0.0011306570013402961
9 17 29 493 59 0.001188359998195665
9 19 19 361 59 0.0012019409987260588
9 19 23 437 15 0.001172686999780126
10 17 31 527 79 0.0012687369999184739
10 17 37 629 57 0.0011795919999713078
10 17 41 697 70 0.0012184810002509039
10 17 43 731 76 0.0012072589997842442
10 17 47 799 27 0.0012172089991508983
10 17 53 901 59 0.0012008290032099467
10 17 59 1003 41 0.0012062339992553461
10 19 29 551 90 0.0012147279994678684
10 19 31 589 34 0.001232048001838848
10 19 37 703 14 0.0012109749986848328
10 19 41 779 81 0.0012246070000401232
10 19 43 817 32 0.0012314499981584959
10 19 47 893 67 0.0012405329980538227
10 19 53 1007 83 0.001197318997583352
10 23 23 529 70 0.0012296639979467727
10 23 29 667 54 0.0012168089997430798
10 23 31 713 35 0.0011794530000770465
10 23 37 851 49 0.001235027000802802
10 23 41 943 13 0.0011648180006886832
10 23 43 989 53 0.0012454440002329648
10 29 29 841 87 0.0012319209999986924
10 29 31 899 70 0.0011941400007344782
10 31 31 961 21 0.001182792999316007
11 17 61 1037 54 0.001307351001742063
11 19 59 1121 91 0.0012954059966432396
11 19 61 1159 69 0.0013213359998189844
11 23 47 1081 65 0.0013481019996106625
11 23 53 1219 76 0.0013218189997132868
11 23 59 1357 16 0.0013197320004110225
11 23 61 1403 18 0.0013132770000083838
11 29 37 1073 20 0.0013450579972413834
11 29 41 1189 55 0.0012987279988010414
11 29 43 1247 51 0.0012722610008495394
11 29 47 1363 41 0.0013980789990455378
11 29 53 1537 96 0.0013607440014311578
11 29 59 1711 51 0.0012941909990331624
11 29 61 1769 26 0.0013583859981736168
11 31 37 1147 48 0.0013586550012405496
11 31 41 1271 55 0.0013160510025045369
11 31 43 1333 33 0.0013130219995218795
11 31 47 1457 18 0.0012712349998764694
11 31 53 1643 68 0.0013057469986961223
11 31 59 1829 80 0.001326159999734955
11 31 61 1891 87 0.0013028659996052738
11 37 37 1369 69 0.0013512500008800998
11 37 41 1517 53 0.0013287350011523813
11 37 43 1591 59 0.0013014719988859724
11 37 47 1739 88 0.001335234999714885
11 37 53 1961 53 0.0013321320002432913
11 41 41 1681 99 0.0013640750003105495
11 41 43 1763 33 0.0013429950013232883
11 41 47 1927 96 0.001319367001997307
11 43 43 1849 2 0.001296910999371903
11 43 47 2021 81 0.0013124049983161967
12 37 59 2183 90 0.001408934000210138
12 37 61 2257 90 0.001420979002432432
12 37 67 2479 25 0.001381596001010621
12 37 71 2627 97 0.0014612739978474565
12 37 73 2701 53 0.0014103409994277172
12 37 79 2923 46 0.0013863300009688828
12 37 83 3071 20 0.001430865999282105
12 37 89 3293 72 0.0014857999995001592
12 37 97 3589 89 0.0013501649991667364
12 37 101 3737 23 0.0014210299996193498
12 37 103 3811 46 0.0013444040014292113
12 37 107 3959 27 0.0014050409990886692
12 37 109 4033 90 0.0013878360005037393
12 41 53 2173 57 0.0013065889979770873
12 41 59 2419 22 0.001407448999088956
12 41 61 2501 15 0.0014203069986251649
12 41 67 2747 51 0.0013567259993578773
12 41 71 2911 51 0.0014239049996831454
12 41 73 2993 33 0.001408061998517951
12 41 79 3239 69 0.0013286859975778498
12 41 83 3403 71 0.0014387250012077857
12 41 89 3649 33 0.001321769999776734
12 41 97 3977 99 0.0014334789993881714
12 43 53 2279 93 0.0013820570020470768
12 43 59 2537 7 0.0013883660030842293
12 43 61 2623 50 0.0014408059978450183
12 43 67 2881 20 0.001300534000620246
12 43 71 3053 51 0.0014442009996855631
12 43 73 3139 68 0.0012838389993703458
12 43 79 3397 74 0.0014179569989209995
12 43 83 3569 14 0.0014334480001707561
12 43 89 3827 63 0.0014758690012968145
12 47 47 2209 31 0.0013253970028017648
12 47 53 2491 38 0.0013248149989522062
12 47 59 2773 69 0.0013755809995927848
12 47 61 2867 99 0.0013966639999125618
12 47 67 3149 45 0.0014355300008901395
12 47 71 3337 51 0.0014304630021797493
12 47 73 3431 54 0.0014230550004867837
12 47 79 3713 69 0.001454651999665657
12 47 83 3901 55 0.0014293510030256584
12 53 53 2809 58 0.0014017549983691424
12 53 59 3127 10 0.0013614420022349805
12 53 61 3233 23 0.0013819289997627493
12 53 67 3551 51 0.0014231780005502515
12 53 71 3763 89 0.0014462710023508407
12 53 73 3869 86 0.0013996579982631374
12 59 59 3481 61 0.0013870209986635018
12 59 61 3599 36 0.001409361997502856
12 59 67 3953 59 0.0013095200010866392
12 61 61 3721 99 0.0013596959979622625
12 61 67 4087 28 0.0014653830003226176
13 37 113 4181 23 0.0014991429998190142
13 37 127 4699 42 0.001482287003454985
13 41 101 4141 47 0.001493692001531599
13 41 103 4223 70 0.0014878690017212648
13 41 107 4387 99 0.0014611699989472982
13 41 109 4469 20 0.001541858997370582
13 41 113 4633 100 0.0014501990008284338
13 41 127 5207 31 0.001390061999700265
13 43 97 4171 68 0.0014485459978459403
13 43 101 4343 68 0.0015161869996518362
13 43 103 4429 68 0.0014164540007186588
13 43 107 4601 90 0.0014902520015311893
13 43 109 4687 41 0.001420602999132825
13 43 113 4859 85 0.0015169889993558172
13 43 127 5461 93 0.0013832840013492387
13 47 89 4183 94 0.0014897110013407655
13 47 97 4559 9 0.0014205480001692194
13 47 101 4747 42 0.001413281999703031
13 47 103 4841 87 0.0014453229996433947
13 47 107 5029 36 0.0014592219995392952
13 47 109 5123 36 0.0015428799997607712
13 47 113 5311 45 0.0015575959987472743
13 47 127 5969 36 0.001436154001567047
13 53 79 4187 21 0.001511006001237547
13 53 83 4399 19 0.0014674769990961067
13 53 89 4717 44 0.001443633002054412
13 53 97 5141 83 0.0014758469988009892
13 53 101 5353 99 0.0014351150020956993
13 53 103 5459 42 0.0014993990007496905
13 53 107 5671 68 0.0015214519989967812
13 53 109 5777 27 0.0014897510009177495
13 53 113 5989 52 0.0014555939997080714
13 53 127 6731 59 0.0015185080010269303
13 59 71 4189 22 0.0014596709988836665
13 59 73 4307 28 0.0014804320016992278
13 59 79 4661 62 0.0015596789999108296
13 59 83 4897 39 0.0014487959997495636
13 59 89 5251 10 0.001473151998652611
13 59 97 5723 82 0.0015299139995477162
13 59 101 5959 36 0.0015076069976203144
13 59 103 6077 78 0.0014870599989080802
13 59 107 6313 66 0.0014905979987815954
13 59 109 6431 35 0.001452937998692505
13 59 113 6667 43 0.0014404579997062683
13 59 127 7493 25 0.0014948249990993645
13 61 71 4331 41 0.0013699609989998862
13 61 73 4453 57 0.001542230002087308
13 61 79 4819 93 0.0014713029995618854
13 61 83 5063 12 0.0014578119989892002
13 61 89 5429 10 0.001476653000281658
13 61 97 5917 37 0.001480269002058776
13 61 101 6161 63 0.001492710998718394
13 61 103 6283 96 0.001504981999460142
13 61 107 6527 99 0.0015012949988886248
13 61 109 6649 31 0.0014634609979111701
13 61 113 6893 31 0.0013906560016039293
13 61 127 7747 54 0.0014135310011624824
13 67 67 4489 60 0.0014479910023510456
13 67 71 4757 34 0.0014897080000082497
13 67 73 4891 20 0.0014076240004214924
13 67 79 5293 10 0.0014951199991628528
13 67 83 5561 22 0.0013777660024061333
13 67 89 5963 78 0.001495715001510689
13 67 97 6499 85 0.001451340998755768
13 67 101 6767 59 0.001535295999929076
13 67 103 6901 47 0.0014991600000939798
13 67 107 7169 28 0.0014332310020108707
13 67 109 7303 99 0.0015294059994630516
13 67 113 7571 78 0.0015052560011099558
13 71 71 5041 67 0.0014228359978005756
13 71 73 5183 41 0.0014831890002824366
13 71 79 5609 77 0.0014812609988439362
13 71 83 5893 69 0.0014852999993308913
13 71 89 6319 22 0.0014326980017358437
13 71 97 6887 89 0.0015273399985744618
13 71 101 7171 35 0.0014684090019727591
13 71 103 7313 32 0.0013735180000367109
13 71 107 7597 73 0.001564278998557711
13 71 109 7739 14 0.0014532850000250619
13 71 113 8023 22 0.0015288309987226967
13 73 73 5329 49 0.0014133089971437585
13 73 79 5767 34 0.001543955000670394
13 73 83 6059 10 0.001506019998487318
13 73 89 6497 52 0.001517609998700209
13 73 97 7081 91 0.0014210420013114344
13 73 101 7373 20 0.0015668400010326877
13 73 103 7519 87 0.0014018580004631076
13 73 107 7811 20 0.0015268659990397282
13 73 109 7957 39 0.001515124000434298
13 79 79 6241 29 0.0014875010019750334
13 79 83 6557 23 0.0014260899988585152
13 79 89 7031 26 0.0014760660014871974
13 79 97 7663 82 0.0014895610001985915
13 79 101 7979 54 0.0014430260016524699
13 79 103 8137 77 0.0015080420016602147
13 83 83 6889 19 0.0014557459981006104
13 83 89 7387 78 0.0014226139974198304
13 83 97 8051 80 0.0015300949999073055
13 89 89 7921 33 0.0015616680029779673
14 67 127 8509 95 0.0016638850029266905
14 67 131 8777 96 0.0015535600032308139
14 67 137 9179 17 0.0016483469989907462
14 67 139 9313 56 0.001579109997692285
14 67 151 10117 48 0.0015499470027862117
14 67 157 10519 67 0.0016219600001932122
14 67 181 12127 4 0.001665776999288937
14 67 191 12797 15 0.001760490002197912
14 67 193 12931 44 0.001546968000184279
14 67 197 13199 45 0.0017094100003305357
14 67 223 14941 40 0.00160518800112186
14 67 227 15209 71 0.0015094010013854131
14 67 229 15343 22 0.0016288589977193624
14 67 233 15611 83 0.001555814000312239
14 67 239 16013 48 0.0016065359995991457
14 67 241 16147 11 0.0015086929997778498
14 71 131 9301 17 0.0014687389993923716
14 71 137 9727 57 0.001507803001004504
14 71 149 10579 31 0.0015815859987924341
14 71 151 10721 13 0.0016668309981469065
14 71 157 11147 99 0.0016094109996629413
14 71 167 11857 17 0.0015865259993006475
14 71 179 12709 56 0.0017180629984068219
14 71 181 12851 11 0.0015693640016252175
14 71 199 14129 70 0.0014595669999835081
14 71 227 16117 71 0.0014417370002774987
14 73 113 8249 83 0.0015388749998237472
14 73 127 9271 26 0.0015494199979002587
14 73 131 9563 89 0.0015281450032489374
14 73 139 10147 71 0.0016713300028641243
