# bitsize(pq) p q pq
35 69847 262079 18305431913
35 73637 255947 18847169239
35 73643 260171 19159772953
35 75937 228421 17345605477
35 76961 258691 19909118051
35 77383 238079 18423267257
35 80363 214733 17256588079
35 81331 218987 17810431697
35 81707 230507 18834035449
35 82007 261281 21426870967
35 82457 231109 19056554813
35 82487 232459 19174845533
35 83077 228793 19007436061
35 83101 233939 19440564839
35 84731 254537 21567174547
35 87013 249143 21678679859
35 87557 245561 21500584477
35 87701 259009 22715348309
35 88211 229693 20261449223
35 90947 191677 17432448119
35 91079 250979 22858916341
35 93407 224473 20967349511
35 93419 217429 20311999751
35 96763 207443 20072807009
35 97553 203821 19883350013
35 97871 181523 17765837533
35 98639 250451 24704236189
35 99173 256651 25452849623
35 102217 205171 20971964107
35 102913 201037 20689320781
35 102913 203969 20991061697
35 103979 171007 17781136853
35 104087 182681 19014717247
35 104369 187081 19525456889
35 107183 189151 20273771633
35 107747 242393 26117118571
35 109471 202751 22195354721
35 109517 255313 27961113821
35 111317 207833 23135346061
35 111751 181721 20307503471
35 112289 199909 22447581701
35 112501 177209 19936189709
35 113117 176261 19938115537
35 114203 211943 24204526429
35 114299 249367 28502398733
35 117877 210101 24766075577
35 118571 152311 18059667581
35 118903 170707 20297574421
35 120277 226099 27194509423
35 120647 179593 21667356671
35 121229 247001 29943684229
35 121453 160907 19542637871
35 122743 222127 27264534361
35 123379 164839 20337670981
35 123787 232633 28796941171
35 124171 171707 21321029897
35 124739 199403 24873330817
35 124951 251219 31390065269
35 125017 165479 20687688143
35 125117 259991 32529293947
35 125329 156733 19643190157
35 126211 239383 30212767813
35 126337 226313 28591705481
35 126443 231079 29218321997
35 126923 260713 33090476099
35 127219 247249 31454770531
35 128119 212633 27242327327
35 128563 242533 31180770079
35 129229 243301 31441544929
35 129401 144719 18726783319
35 129803 136993 17782102379
35 130099 195809 25474555091
35 131009 250721 32846707489
35 134731 169777 22874224987
35 134887 156719 21139355753
35 134951 190837 25753643987
35 136067 139969 19045161923
35 137183 172993 23731698719
35 139609 149497 20871126673
35 142939 221603 31675711217
35 143261 183059 26225215399
35 144701 184369 26678378669
35 146309 196871 28803999139
35 146849 151121 22191967729
35 147163 156887 23087961581
35 148139 210247 31145780333
35 148927 166987 24868872949
35 149921 207061 31042792181
35 150551 208283 31357213933
35 151241 175993 26617357313
35 151343 186113 28166899759
35 151703 179657 27254505871
35 151769 170749 25914404981
35 154883 182587 28279622321
35 155381 165083 25650761623
35 155893 160117 24961119481
35 160073 173053 27701112869
35 160169 170207 27261884983
35 168601 179233 30218863033
35 174257 179903 31349357071
