#n p q pq condition singular_max singular_min m.rows m.cols
3 2 2 4 97.82810302585646 [ 5.08222806] [ 0.05195059]
3 2 3 6 290813411.85558176 [ 4.66065849] [  1.60262846e-08]
4 2 5 10 324193279.4116036 [ 5.69238853] [  1.75586260e-08]
4 2 7 14 nan [ 5.69238817] [ nan]
4 3 3 9 111.94503097880889 [ 5.33777019] [ 0.04768206]
4 3 5 15 1701527565.021959 [ 5.33776867] [  3.13704508e-09]
5 3 7 21 225.47477675948608 [ 6.88699587] [ 0.03054442]
5 5 5 25 236.75094631670441 [ 6.88699587] [ 0.02908962]
6 5 7 35 6594077130.298125 [ 7.94177628] [  1.20438025e-09]
6 5 11 55 256.9231885064118 [ 7.94177626] [ 0.03091109]
6 7 7 49 nan [ 7.94177628] [ nan]
7 5 13 65 5802012730.557455 [ 9.35931536] [  1.61311527e-09]
7 7 11 77 185220149.26137042 [ 9.35931535] [  5.05307624e-08]
7 7 13 91 380896848.66728336 [ 9.35931535] [  2.45717847e-08]
